t	x0	y0	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15
0.17	0.985003	-0.0276927	1.01514	0.971598	1.98063	-0.0707477	2.01862	0.928341	2.98339	-0.110907	3.01509	0.888389	3.98971	-0.13817	4.00874	0.861442	4.99644	-0.149824	5.00244	0.85001	6.00066	-0.148544	5.99866	0.851369	7.00134	-0.143314	6.99831	0.856595	8.00022	-0.140756	7.9997	0.859228
0.18	0.983916	-0.0292753	1.01628	0.969887	1.97867	-0.075721	2.02049	0.923194	2.98112	-0.120373	3.01704	0.878731	3.98763	-0.151933	4.0104	0.847576	4.99491	-0.167229	5.00359	0.832534	6.00017	-0.167967	5.9989	0.831917	7.00166	-0.161992	6.99785	0.837885	8.00041	-0.157875	7.99947	0.8421
0.19	0.982831	-0.0308332	1.01744	0.968185	1.97675	-0.0807137	2.02232	0.918011	2.97875	-0.129889	3.01907	0.868996	3.98541	-0.166003	4.01214	0.833375	4.99321	-0.185014	5.00484	0.814669	5.99942	-0.188268	5.99933	0.811575	7.00191	-0.182031	6.99741	0.817814	8.00069	-0.176019	7.9991	0.823941
0.2	0.981704	-0.0323567	1.01864	0.966506	1.97486	-0.0857253	2.02413	0.912783	2.97634	-0.13943	3.02112	0.859219	3.98305	-0.18035	4.01396	0.818856	4.99136	-0.20321	5.00617	0.796386	5.99846	-0.209224	5.99992	0.790561	7.00206	-0.203258	6.99704	0.796553	8.00111	-0.195217	7.99858	0.804723
0.21	0.980541	-0.0338587	1.0199	0.964839	1.97294	-0.0907448	2.02597	0.907516	2.97391	-0.148998	3.02317	0.849404	3.98058	-0.194904	4.01583	0.804088	4.98939	-0.221861	5.00754	0.777635	5.99735	-0.230682	6.00058	0.769031	7.00208	-0.225429	6.99675	0.774343	8.00167	-0.2155	7.99786	0.784413
0.22	0.979387	-0.0353573	1.02116	0.963165	1.97095	-0.095763	2.02789	0.902217	2.97146	-0.158615	3.02524	0.839518	3.97803	-0.209594	4.01773	0.789152	4.98733	-0.240964	5.00892	0.758411	5.99615	-0.252569	6.00124	0.747068	7.00197	-0.2483	6.99654	0.751426	8.00238	-0.236893	7.99696	0.762986
0.23	0.978271	-0.0368584	1.0224	0.961472	1.96892	-0.100777	2.02988	0.896901	2.96893	-0.16831	3.02736	0.829513	3.9754	-0.224391	4.01967	0.774093	4.98519	-0.260447	5.01029	0.738774	5.99491	-0.274871	6.00187	0.724691	7.00172	-0.271705	6.99637	0.727963	8.00319	-0.259412	7.99588	0.740428
0.24	0.977182	-0.0383547	1.02363	0.959764	1.96689	-0.105787	2.03187	0.891576	2.96632	-0.1781	3.02955	0.819359	3.97268	-0.239319	4.02164	0.758891	4.98296	-0.280196	5.01168	0.718837	5.9936	-0.297587	6.00247	0.701903	7.00135	-0.295622	6.99624	0.703982	8.00407	-0.283056	7.99467	0.716739
0.25	0.976089	-0.0398388	1.02489	0.958046	1.96491	-0.110797	2.03384	0.886238	2.96366	-0.187979	3.03177	0.80907	3.96988	-0.254422	4.02364	0.743493	4.9806	-0.30011	5.01308	0.69871	5.99215	-0.320709	6.00309	0.678703	7.00082	-0.320167	6.99616	0.679374	8.00493	-0.307813	7.99339	0.691936
0.26	0.974978	-0.0413118	1.02619	0.956324	1.96293	-0.11582	2.03583	0.880862	2.96099	-0.197927	3.03399	0.798686	3.96702	-0.269719	4.02562	0.727864	4.97812	-0.320127	5.01452	0.678468	5.99046	-0.344219	6.00384	0.655097	7.00008	-0.345537	6.99619	0.653943	8.00568	-0.333659	7.99213	0.666042
