t	x0	y0	x1	y1	x2	y2
0.75	-0.906823	0.433342	0.0668637	-1.00644	0.831777	0.558507
0.76	-0.942664	0.340229	0.16326	-0.990651	0.766983	0.636395
0.77	-0.973943	0.24555	0.260091	-0.970246	0.699132	0.710969
0.78	-0.998786	0.149672	0.356082	-0.944036	0.628143	0.780665
0.79	-1.01055	0.0521332	0.448165	-0.906282	0.550534	0.840224
0.8	-1.0064	-0.0464863	0.534096	-0.854787	0.465282	0.886934
0.81	-0.991195	-0.14525	0.614948	-0.793885	0.375257	0.924277
0.82	-0.971177	-0.243732	0.692855	-0.728812	0.283451	0.957154
0.83	-0.946095	-0.340774	0.766209	-0.659742	0.190163	0.984684
0.84	-0.910292	-0.4335	0.829547	-0.583295	0.0944157	1.00073
0.85	-0.860938	-0.519522	0.87955	-0.498362	-0.00374293	1.00185
0.86	-0.802048	-0.599684	0.919244	-0.407962	-0.103429	0.991853
0.87	-0.739378	-0.67647	0.953861	-0.315529	-0.203917	0.976456
0.88	-0.673776	-0.749271	0.983313	-0.221695	-0.303796	0.955436
0.89	-0.6017	-0.813453	1.00172	-0.125527	-0.400002	0.923084
0.9	-0.521043	-0.865641	1.00506	-0.0271621	-0.489754	0.876226
0.91	-0.433868	-0.908233	0.996619	0.0721432	-0.573397	0.818747
0.92	-0.343325	-0.946127	0.982651	0.1714	-0.653254	0.756805
0.93	-0.250206	-0.979413	0.964127	0.269558	-0.728935	0.691737
0.94	-0.153722	-1.00222	0.935938	0.364361	-0.795829	0.620005
0.95	-0.0541136	-1.00994	0.894319	0.453552	-0.850047	0.539215
0.96	0.0471054	-1.00514	0.842105	0.537431	-0.893519	0.451553
0.97	0.14862	-0.994001	0.78492	0.618188	-0.931575	0.360852
0.98	0.249198	-0.97795	0.724097	0.695688	-0.965501	0.268492
0.99	0.346415	-0.952045	0.655976	0.765678	-0.990258	0.173591
1	0.437548	-0.912113	0.577704	0.824133	-1.00093	0.0758381
1.01	0.522292	-0.860715	0.491133	0.872393	-0.99929	-0.023658
1.02	0.602789	-0.804018	0.40023	0.915342	-0.991257	-0.123685
1.03	0.679701	-0.744342	0.306711	0.954166	-0.978768	-0.223162
1.04	0.749749	-0.678461	0.209908	0.98357	-0.957227	-0.32002
1.05	0.809131	-0.603088	0.109757	0.997939	-0.921976	-0.411797
1.06	0.858679	-0.519458	0.00792819	0.998504	-0.874676	-0.498161
1.07	0.902966	-0.431417	-0.0937266	0.991632	-0.82101	-0.581152
1.08	0.943656	-0.340878	-0.193951	0.980418	-0.763356	-0.661471
1.09	0.976167	-0.247088	-0.291024	0.960982	-0.698562	-0.735693
1.1	0.994951	-0.149512	-0.382811	0.92829	-0.623195	-0.799302
1.11	1.00062	-0.0493928	-0.468939	0.88324	-0.538545	-0.852192
1.12	0.998944	0.0515589	-0.55142	0.831459	-0.449039	-0.898668
1.13	0.992835	0.15214	-0.631425	0.776036	-0.35735	-0.941054
1.14	0.97819	0.250717	-0.706288	0.714331	-0.263086	-0.975513
1.15	0.949381	0.345026	-0.771827	0.642577	-0.165666	-0.9964
1.16	0.906783	0.434206	-0.827639	0.561267	-0.0663291	-1.00363
1.17	0.856233	0.519813	-0.877654	0.474326	0.0330253	-1.00281
1.18	0.801595	0.60302	-0.924186	0.384365	0.131221	-0.997676
1.19	0.740699	0.681337	-0.963414	0.291004	0.227175	-0.98517
1.2	0.669565	0.750278	-0.989176	0.193589	0.319385	-0.959872
1.21	0.588412	0.808652	-1.00056	0.0934183	0.407426	-0.921497
